Date,Episode,Team,Chaser,NPlayersFinal,PrizeFund,Target,Series,isCelebrity,ChaserWin,ChaserWinBy,ChaserLoseBy
17/12/2012,36.0,"Diane, Charles, Ria, Warren",Paul Sinha,2,8000.0,16,6,False,True,44,0
18/12/2012,37.0,"Dom, Peter, Jenni, Marcus",Anne Hegerty,3,11000.0,20,6,False,False,0,1
19/12/2012,38.0,"Arthur, Laura, George, James",Shaun Wallace,3,9000.0,15,6,False,True,46,0
20/12/2012,39.0,"Margaret, Niall, Dave, Carol",Mark Labbett,3,9000.0,17,6,False,True,17,0
02/01/2013,41.0,"Dave, Archie, Angela, Karen",Paul Sinha,4,39000.0,23,6,False,False,0,2
03/01/2013,42.0,"Derek, Chris, Stella, Lee",Anne Hegerty,0,4000.0,14,6,False,True,22,0
04/01/2013,43.0,"Ali, Steve, Scott, Rebecca",Mark Labbett,3,15000.0,20,6,False,False,0,4
07/01/2013,44.0,"Glen, Dave, Viki, Dani",Shaun Wallace,2,12000.0,19,6,False,True,11,0
08/01/2013,45.0,"Ross, Stephanie, Jess, Larry",Mark Labbett,1,60000.0,15,6,False,False,0,1
09/01/2013,46.0,"Colin, Morag, Joel, Gina",Anne Hegerty,3,20000.0,22,6,False,True,14,0
10/01/2013,47.0,"Sharon, Andrew, Ruth, Dara",Shaun Wallace,2,9000.0,13,6,False,True,16,0
11/01/2013,48.0,"Rik, Linda, Alex, John",Paul Sinha,2,14000.0,15,6,False,True,4,0
14/01/2013,49.0,"Jude, Graham, Lauren, James",Paul Sinha,2,8000.0,14,6,False,True,50,0
15/01/2013,50.0,"Kirsty, Guy, Roberta, Adam",Anne Hegerty,1,35000.0,11,6,False,True,74,0
16/01/2013,51.0,"Karen, Spencer, Tess, Tony",Shaun Wallace,3,22000.0,22,6,False,False,0,7
17/01/2013,52.0,"Matt, Linda, Martyn, Becky",Paul Sinha,3,17000.0,16,6,False,True,39,0
18/01/2013,53.0,"Paul, Michael, Gemma, Kath",Mark Labbett,2,10000.0,15,6,False,True,55,0
21/01/2013,54.0,"Barry, Heather, Stuart, Angela",Anne Hegerty,3,14000.0,15,6,False,True,43,0
22/01/2013,55.0,"Judith, David, Trev, Dena",Shaun Wallace,2,2000.0,19,6,False,True,15,0
23/01/2013,56.0,"Lindsey, Barry, Pamela, Lee",Mark Labbett,2,37000.0,14,6,False,True,26,0
24/01/2013,57.0,"Elaine, Tony, Jo, Matt",Anne Hegerty,3,42000.0,18,6,False,False,0,1
25/01/2013,58.0,"Rachel, Sam, Felix, Carole",Paul Sinha,1,3000.0,11,6,False,True,59,0
28/01/2013,59.0,"Sian, Lyn, James, Darren",Mark Labbett,3,14000.0,21,6,False,True,11,0
29/01/2013,60.0,"Pete, Laura, Chris, Sharon",Shaun Wallace,3,25000.0,17,6,False,False,0,4
30/01/2013,61.0,"Rosemary, John, Emma, Mark",Paul Sinha,1,2000.0,12,6,False,True,41,0
31/01/2013,62.0,"Chris, Barbara, Rachel, John",Anne Hegerty,2,54000.0,17,6,False,True,31,0
01/02/2013,63.0,"Dave, Michelle, Adam, Kathryn",Shaun Wallace,2,5200.0,15,6,False,True,28,0
04/02/2013,64.0,"Mike, Jacky, Pete, Jen",Paul Sinha,2,7000.0,15,6,False,True,20,0
05/02/2013,65.0,"Mandy, Bob, Sam, Sally",Mark Labbett,2,10000.0,12,6,False,True,51,0
06/02/2013,66.0,"Paul, Mary, Katherine, Stewart",Shaun Wallace,2,13000.0,15,6,False,True,19,0
07/02/2013,67.0,"Caz, John, Natalie, Andrew",Paul Sinha,0,4000.0,16,6,False,False,0,1
08/02/2013,68.0,"Steve, George, Sarah, Hayley",Anne Hegerty,1,20000.0,16,6,False,True,31,0
18/02/2013,69.0,"Clive, Gav, Jenn, Catriona",Mark Labbett,1,1000.0,17,6,False,True,5,0
19/02/2013,70.0,"Laura, Angus, Lucy, Luke",Shaun Wallace,2,4000.0,13,6,False,True,40,0
20/02/2013,71.0,"Andrea, Anne, Luke, William",Anne Hegerty,2,60000.0,18,6,False,False,0,1
21/02/2013,72.0,"Calvin, Peter, Lauren, Steve",Paul Sinha,2,10000.0,13,6,False,True,49,0
22/02/2013,73.0,"David, Damon, Jenny, Sophie",Anne Hegerty,0,4000.0,14,6,False,True,48,0
25/02/2013,74.0,"Roy, Debbie, Carol, Pete",Shaun Wallace,3,14000.0,24,6,False,False,0,4
26/02/2013,75.0,"Nichola, Ellie, Kevin, Richard",Mark Labbett,1,6000.0,11,6,False,True,63,0
27/02/2013,76.0,"Scarlett, Jeff, Zoe, Andrew",Paul Sinha,2,5400.0,16,6,False,True,20,0
28/02/2013,77.0,"Vicky, John, Marie, Michael",Mark Labbett,2,12000.0,17,6,False,False,0,1
01/03/2013,78.0,"Kristina, Marion, Phil, Sharon",Anne Hegerty,4,32000.0,21,6,False,True,7,0
04/03/2013,79.0,"Catherine, Sarah, Geo, Richard",Anne Hegerty,3,17000.0,16,6,False,True,28,0
05/03/2013,80.0,"Dave, Elaine, Jo, Phillip",Shaun Wallace,1,5000.0,15,6,False,False,0,5
06/03/2013,81.0,"Louise, John, Lynn, Christian",Mark Labbett,2,5000.0,11,6,False,True,42,0
07/03/2013,82.0,"Luke, Anne, Russell, Lyndsey",Paul Sinha,1,5000.0,11,6,False,True,63,0
08/03/2013,83.0,"Tony, Charles, Jenni, Catherine",Shaun Wallace,3,17000.0,12,6,False,True,10,0
11/03/2013,84.0,"James, Roland, Kim, Tracy",Shaun Wallace,1,24000.0,10,6,False,True,34,0
12/03/2013,85.0,"Donna, Jason, Daisy, Stuart",Anne Hegerty,2,7000.0,13,6,False,True,40,0
13/03/2013,86.0,"Simon, Karen, Hatti, Andrew",Paul Sinha,2,8000.0,21,6,False,False,0,4
14/03/2013,87.0,"Steve, Susie, Jake, Lesley",Mark Labbett,4,42000.0,21,6,False,False,0,7
15/03/2013,88.0,"Steve, Ann, Natalie, Barry",Paul Sinha,2,30001.0,20,6,False,True,6,0
18/03/2013,89.0,"Kay, Steve, Kerry, Andy",Anne Hegerty,2,9000.0,18,6,False,False,0,2
19/03/2013,90.0,"Elaine, Dave, Paul, Mags",Mark Labbett,2,40500.0,15,6,False,True,52,0
20/03/2013,91.0,"Mel, Denise, Graham, Brian",Paul Sinha,3,10000.0,17,6,False,True,37,0
